Month (YYYY-MM),Total (£),Relevant URLs (space separated)
2013-02,54866647.04,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T12%3A04%3A33/spending_2013_03.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T12%3A16%3A15/spending_2013_02.csv
2013-03,72017101.35,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T11%3A54%3A49/spending_2013_04.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T12%3A04%3A33/spending_2013_03.csv
2013-04,80951606.11,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T11%3A49%3A40/spending_2013_05.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T11%3A54%3A49/spending_2013_04.csv
2013-05,93165575.72,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T11%3A25%3A20/june-2013.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-18T11%3A49%3A40/spending_2013_05.csv
2013-06,95835118.02,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T11%3A18%3A35/july-2013.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T11%3A25%3A20/june-2013.csv
2013-07,97133894.47,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T09%3A57%3A51/Aug-2013.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T11%3A18%3A35/july-2013.csv
2013-08,92217349.82,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T09%3A48%3A11/september-2013.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T09%3A57%3A51/Aug-2013.csv
2013-09,93001015.01,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T09%3A35%3A27/october-2013.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T09%3A48%3A11/september-2013.csv
2013-10,97644892.46,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T09%3A28%3A15/november-2013.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T09%3A35%3A27/october-2013.csv
2013-11,93154692.44,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T09%3A22%3A25/december-2013.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T09%3A28%3A15/november-2013.csv
2013-12,109899553.96,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T09%3A13%3A22/january-2014.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T09%3A22%3A25/december-2013.csv
2014-01,83449196.54,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T09%3A01%3A42/february-2014.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T09%3A13%3A22/january-2014.csv
2014-02,58804691.65,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T08%3A57%3A09/march-2014.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T09%3A01%3A42/february-2014.csv
2014-03,77813802.51,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/2016-11-08T08%3A57%3A09/march-2014.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-04.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-08.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-09.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-10.csv
2014-04,87309835.20,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-04.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-05.csv
2014-05,91477775.44,https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-05.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-06.csv https://s3-eu-west-1.amazonaws.com/files.datapress.com/leeds/dataset/council-spending/spending-2014-10.csv
